                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.43326,                0.33418,                0.88199,                0.96367,                0.97837,                0.99064,                0.92426,                0.41835,                0.26626,                0.79008,               0.004456,               0.004456,               0.004456
                     58,                0.42849,                 0.3296,                0.87342,                0.96921,                0.97701,                0.98958,                0.91966,                0.43416,                0.26993,                0.79568,               0.004357,               0.004357,               0.004357
                     59,                0.43584,                 0.3308,                0.88139,                 0.9489,                 0.9889,                0.99205,                0.91594,                0.43411,                0.27521,                0.80022,               0.004258,               0.004258,               0.004258
                     60,                0.43169,                0.32001,                0.87761,                0.95505,                0.98035,                0.99261,                0.92001,                0.41182,                0.27196,                0.78691,               0.004159,               0.004159,               0.004159
                     61,                0.42158,                0.32069,                0.87429,                0.98333,                 0.9728,                0.99393,                0.91449,                0.42997,                 0.2514,                 0.7959,                0.00406,                0.00406,                0.00406
                     62,                0.41848,                 0.3235,                0.87251,                 0.9788,                0.97402,                0.99441,                 0.9187,                0.42162,                0.25719,                0.79025,               0.003961,               0.003961,               0.003961
                     63,                0.41384,                0.31231,                 0.8722,                0.96692,                 0.9656,                 0.9919,                0.91489,                0.41793,                0.26819,                0.79115,               0.003862,               0.003862,               0.003862
                     64,                0.41208,                0.30508,                0.87513,                0.97098,                0.99214,                  0.995,                0.92386,                0.42181,                0.22842,                0.78529,               0.003763,               0.003763,               0.003763
                     65,                0.41163,                0.30675,                0.86904,                0.97663,                 0.9422,                0.98381,                0.91371,                 0.4218,                0.29434,                0.78984,               0.003664,               0.003664,               0.003664
                     66,                0.41196,                 0.3126,                0.87326,                0.96299,                0.94788,                0.97948,                0.90302,                0.42273,                0.30325,                0.78865,               0.003565,               0.003565,               0.003565
                     67,                0.39461,                0.29404,                0.86593,                0.97545,                0.97166,                0.99221,                0.91976,                0.43155,                0.25626,                0.79151,               0.003466,               0.003466,               0.003466
                     68,                0.39719,                0.29161,                 0.8664,                0.94897,                0.97746,                 0.9891,                0.91779,                0.41666,                 0.2661,                 0.7862,               0.003367,               0.003367,               0.003367
                     69,                0.39178,                0.29094,                0.86142,                0.97758,                0.98076,                0.99108,                0.91545,                0.42994,                0.24075,                0.79012,               0.003268,               0.003268,               0.003268
                     70,                0.39588,                0.28464,                0.85847,                0.95135,                0.98197,                0.99221,                0.91883,                0.44018,                0.25376,                0.78848,               0.003169,               0.003169,               0.003169
                     71,                 0.3863,                0.28977,                0.86613,                0.98542,                0.98475,                 0.9942,                0.92062,                0.44325,                0.23864,                0.79283,                0.00307,                0.00307,                0.00307
                     72,                0.38998,                0.28968,                0.86573,                0.94404,                0.98725,                0.98634,                0.91275,                0.42638,                0.27549,                0.78797,               0.002971,               0.002971,               0.002971
                     73,                0.38394,                0.28124,                0.86437,                0.96151,                0.98913,                0.99302,                0.91748,                0.42714,                0.24635,                0.78649,               0.002872,               0.002872,               0.002872
                     74,                0.37449,                0.27968,                0.85831,                0.97193,                0.97096,                0.99235,                0.91867,                0.42161,                0.24845,                0.78986,               0.002773,               0.002773,               0.002773
                     75,                0.38186,                0.27845,                0.86461,                0.96122,                0.97994,                0.99096,                0.92285,                0.41531,                0.24898,                0.78729,               0.002674,               0.002674,               0.002674
                     76,                0.37921,                0.27928,                0.86293,                0.98036,                0.96604,                 0.9925,                0.91991,                0.42209,                0.25074,                0.78792,               0.002575,               0.002575,               0.002575
                     77,                0.37565,                0.27011,                0.86123,                  0.984,                0.97757,                0.99258,                0.92093,                0.42533,                0.24584,                0.79264,               0.002476,               0.002476,               0.002476
